series_id,series_key,series_name,series_subtitle,series_description,series_category,schedule_type,schedule_summary,timezone_policy,local_time,local_timezone,utc_interval_minutes,default_duration_minutes,visibility_scope,access_mode,series_metadata_json
3f33bebb-b3e6-4647-9c55-630cc5f2edeb,daily-1111-intention-reset,11:11 Intention Reset,Daily Ritual,Midday recentering and intention realignment.,Daily Rhythm,local_time_daily,Daily at 11:11:00,viewer_local,11:11:00,,0,11,global,open,"{""phase"":""event-library-overhaul"",""ritual"":true,""flagship"":true,""script_theme"":""intention reset and coherent alignment"",""art_direction_key"":""live.card.flagship1111"",""voice_recommendation"":{""voice_id"":""V904i8ujLitGpMyoTznT"",""voice_label"":""Dominic""}}"
1b068028-3a27-4671-a3f2-d95ae0a6f883,emergency-global-prayer,Emergency Global Prayer,Alert,Rapid coordinated response to collective crises.,Alert,manual_trigger,manual_trigger,utc,,,0,20,global,open,"{""phase"":""event-library-overhaul"",""flagship"":true,""emergency"":true,""script_theme"":""stability, compassion, protection, practical solidarity"",""art_direction_key"":""live.card.flagship1111"",""voice_recommendation"":{""voice_id"":""V904i8ujLitGpMyoTznT"",""voice_label"":""Dominic""}}"
4429d92c-f5f1-4f94-8e2a-18926c34411d,evening-release-reflection,Evening Release Reflection,Daily Ritual,"Release the day, integrate lessons, and settle into peace.",Daily Rhythm,local_time_daily,Daily at 21:30:00,viewer_local,21:30:00,,0,15,global,open,"{""phase"":""event-library-overhaul"",""script_theme"":""release, forgiveness, and restful closure"",""art_direction_key"":""live.card.default"",""voice_recommendation"":{""voice_id"":""jfIS2w2yJi0grJZPyEsk"",""voice_label"":""Oliver""}}"
852287fe-b127-466c-95c5-d8a060df6edd,full-moon-gathering,Full Moon Gathering,Lunar Rhythm,A lunar-synced shared gathering aligned to the astronomical full moon.,Lunar Rhythm,lunar_phase,Lunar phase (full_moon),utc,,,0,24,global,open,"{""phase"":""event-library-overhaul"",""flagship"":true,""lunar_phase"":""full_moon"",""script_theme"":""full moon reflection, release, blessing, renewal"",""art_direction_key"":""live.card.flagship1111"",""voice_recommendation"":{""voice_id"":""V904i8ujLitGpMyoTznT"",""voice_label"":""Dominic""}}"
b54fd87e-d209-42e8-8784-fcc0568f014d,global-awakening-meditation,Global Awakening Meditation,Meditation,"A shared stillness practice for insight, compassion, and awakened presence.",Meditation,utc_interval,Every 480 minutes (UTC interval),utc,,,480,20,global,open,"{""phase"":""event-library-overhaul"",""script_theme"":""awareness, stillness, compassion in action"",""art_direction_key"":""live.card.default"",""voice_recommendation"":{""voice_id"":""BFvr34n3gOoz0BAf9Rwn"",""voice_label"":""Amaya""}}"
2e8867e4-4373-49fe-984e-c6e0f62a9c3e,global-peace-circle,Global Peace Circle,Global Intention,A synchronized global prayer field for peace and reconciliation.,Global Intention,utc_interval,Every 360 minutes (UTC interval),utc,,,360,15,global,open,"{""phase"":""event-library-overhaul"",""flagship"":true,""script_theme"":""global peace, reconciliation, human dignity"",""art_direction_key"":""live.card.flagship1111"",""voice_recommendation"":{""voice_id"":""V904i8ujLitGpMyoTznT"",""voice_label"":""Dominic""}}"
6b86f4dd-344c-4988-a389-8fa292bbb399,heart-coherence-circle,Heart Coherence Circle,Heart Coherence,A guided coherence practice for emotional balance and compassionate connection.,Heart Coherence,utc_interval,Every 720 minutes (UTC interval),utc,,,720,15,global,open,"{""phase"":""event-library-overhaul"",""script_theme"":""heart coherence, breathing, compassionate attunement"",""art_direction_key"":""live.card.default"",""voice_recommendation"":{""voice_id"":""bgU7lBMo69PNEOWHFqxM"",""voice_label"":""Rainbird""}}"
970e343c-6b49-41c9-a217-7b2169753c42,new-moon-intention-setting,New Moon Intention Setting,Lunar Rhythm,A lunar-synced gathering aligned to the astronomical new moon.,Lunar Rhythm,lunar_phase,Lunar phase (new_moon),utc,,,0,20,global,open,"{""phase"":""event-library-overhaul"",""lunar_phase"":""new_moon"",""script_theme"":""new moon intention, clarity, commitment, gentle momentum"",""art_direction_key"":""live.card.default"",""voice_recommendation"":{""voice_id"":""BFvr34n3gOoz0BAf9Rwn"",""voice_label"":""Amaya""}}"
e85c439e-c218-41e6-aa26-f8f12b534637,special-collective-moment,Special Collective Moment,Curated,Admin-curated one-off collective gatherings.,Special Moment,admin_curated,admin_curated,utc,,,0,20,global,open,"{""phase"":""event-library-overhaul"",""curated"":true,""script_theme"":""collective focus, unity, significance"",""art_direction_key"":""live.card.flagship1111"",""voice_recommendation"":{""voice_id"":""V904i8ujLitGpMyoTznT"",""voice_label"":""Dominic""}}"
8b5c3932-52f7-4328-bd93-03fb495a14ce,sunrise-gratitude,Sunrise Gratitude,Daily Ritual,Begin the day in gratitude and grounded presence.,Daily Rhythm,local_time_daily,Daily at 07:00:00,viewer_local,07:00:00,,0,12,global,open,"{""phase"":""event-library-overhaul"",""script_theme"":""morning gratitude and grounded optimism"",""art_direction_key"":""live.card.default"",""voice_recommendation"":{""voice_id"":""BFvr34n3gOoz0BAf9Rwn"",""voice_label"":""Amaya""}}"